ID	Longitude	Latitude
426	-99.5448	19.2471
427	-99.5393	19.2434
428	-99.5484	19.268
429	-99.5355	19.2503
430	-99.536	19.2622
431	-99.5367	19.2682
432	-99.5301	19.2491
433	-99.5269	19.252
434	-99.5264	19.2679
435	-99.5233	19.2474
436	-99.5225	19.258
437	-99.5079	19.2616
438	-99.5406	19.3247
439	-99.5326	19.3276
440	-99.5164	19.2736
441	-99.5085	19.2728
442	-99.5143	19.2806
443	-99.5018	19.2803
444	-99.5162	19.2859
445	-99.5066	19.2857
446	-99.4876	19.3584
447	-99.4958	19.3743
448	-99.4922	19.3797
449	-99.4709	19.1707
450	-99.4734	19.182
451	-99.4704	19.1797
452	-99.4735	19.189
453	-99.4751	19.1917
454	-99.469	19.1938
455	-99.4674	19.1979
456	-99.4641	19.1751
457	-99.4582	19.1818
458	-99.454	19.1798
459	-99.451	19.1834
460	-99.4617	19.1893
461	-99.4612	19.199
462	-99.4577	19.1927
463	-99.4296	19.1835
464	-99.4244	19.1765
465	-99.4234	19.1809
466	-99.4213	19.1851
467	-99.4269	19.1944
468	-99.4104	19.1906
469	-99.4623	19.2233
